date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi,source
2022-08-01,,,,,,,,,,,,
2022-08-02,,,,,,,,,,,,
2022-08-03,,,,,,,,,,,,
2022-08-04,120.76470588235294,83.9235294117647,2635.176470588235,82.23529411764706,23.894117647058824,186.23529411764707,1.2288235294117646,0.0,1.473529411764706,,,
2022-08-05,118.72500000000001,82.3,3027.375,96.5125,24.420833333333334,118.58333333333333,1.0304166666666668,0.0,1.1270833333333334,187.58823529411765,109.58823529411765,
2022-08-06,134.88333333333333,93.52083333333333,3394.375,113.91666666666667,21.829166666666666,124.625,1.1116666666666666,0.0,1.1604166666666667,184.08333333333334,106.83333333333333,
2022-08-07,144.14583333333334,99.95833333333333,4046.9583333333335,124.1125,19.266666666666666,105.75,0.995,0.0,1.5062499999999999,184.0,121.45833333333333,
2022-08-08,93.51666666666667,65.16250000000001,3171.8333333333335,112.98333333333333,17.733333333333334,49.041666666666664,0.65,0.0,2.060416666666667,162.75,103.79166666666667,
2022-08-09,131.41666666666666,90.675,3124.8333333333335,110.27916666666665,25.15833333333333,108.25,0.9362499999999999,0.0,1.6145833333333333,173.79166666666666,102.70833333333333,
2022-08-10,114.99583333333334,79.73333333333333,2936.7916666666665,102.76666666666667,20.008333333333333,86.54166666666667,0.7129166666666666,0.0,1.7312500000000002,170.33333333333334,110.83333333333333,
2022-08-11,98.48333333333333,68.40416666666667,2979.0416666666665,99.62083333333334,19.283333333333335,87.08333333333333,0.8154166666666667,0.0,1.6770833333333333,164.41666666666666,97.79166666666667,
2022-08-12,118.16250000000001,81.97500000000001,3207.2083333333335,107.88333333333333,24.65416666666667,115.125,1.2020833333333334,0.0,0.8812500000000001,176.75,98.91666666666667,
2022-08-13,111.14583333333333,77.325,2983.0416666666665,100.65833333333335,20.941666666666666,136.91666666666666,0.9133333333333334,0.0,1.34375,189.95833333333334,103.33333333333333,
