station_id,station,district,latitude,longitude,source
015724e5-cea6-464c-9c8a-4982a8567a79,DKI_PM25_64 SMPN 88 Jakarta (ROOFTOP),Kota Adm. Jakarta Barat,-6.19306,106.794973,https://udara.jakarta.go.id/
022441fc-0402-4b51-af62-ba5c8e4fa37f,DKJ35 Rusunawa Pesakih,Kota Adm. Jakarta Barat,-6.161974,106.716769,https://udara.jakarta.go.id/
04c6a78b-bb4e-44e2-9456-5b5f29ed966c,LCS-09 PT. JIEP,Kota Adm. Jakarta Timur,-6.20697,106.91962,https://udara.jakarta.go.id/
0801e8e7-5b99-4546-bf4b-478d0e26fc03,DKI_PM25_20 TPS 3R Siaga Pejaten Barat,Kota Adm. Jakarta Selatan,-6.268989,106.837096,https://udara.jakarta.go.id/
08bc1f24-cf3b-4d6c-99a2-6393c0b11f4f,DKI_PENJARINGAN Rusun Penjaringan,Kota Adm. Jakarta Utara,-6.129308030415923,106.79575684232952,https://udara.jakarta.go.id/
09953843-9c1e-4950-98d7-0eaa5b191061,DKI_PM25_67 RPTRA Taman Pinus,Kota Adm. Jakarta Utara,-6.140051,106.917764,https://udara.jakarta.go.id/
0ce85903-2c94-491f-9d3d-a22b25e92386,DKI_PM25_76 RPTRA Anggrek Bintaro,Kota Adm. Jakarta Selatan,-6.264257,106.770436,https://udara.jakarta.go.id/
0d12b23f-2986-4974-9d88-53e1ec616962,DKI_PM25_72 SDN 18 Cipinang Muara,Kota Adm. Jakarta Timur,-6.236803,106.889094,https://udara.jakarta.go.id/
19309ede-b9bd-4bd9-902f-b8535f2d82d9,DKI_PM25_78 RPTRA Pulobesar,Kota Adm. Jakarta Utara,-6.15562,106.880943,https://udara.jakarta.go.id/
19d87909-d7d0-445e-a086-057731bbbe30,DKI_CENDRAWASIH GOR Cendrawasih,Kota Adm. Jakarta Barat,-6.143301552250624,106.72061039751402,https://udara.jakarta.go.id/
219dd54c-4129-40b3-b5c6-80f042dd88f9,DKI_PM25_49 RPTRA Harapan Mulia,Kota Adm. Jakarta Pusat,-6.169828,106.855026,https://udara.jakarta.go.id/
23ace949-02d5-4000-a5e5-2e3dc130d704,DKI_PM25_62 RPTRA Ria Damkar Joglo 2,Kota Adm. Jakarta Barat,-6.21887055477562,106.723318740138,https://udara.jakarta.go.id/
2420af88-7961-41aa-9d16-090da63e4ef7,DKI2 Kelapa Gading,Kota Adm. Jakarta Utara,-6.154085,106.908249,https://udara.jakarta.go.id/
25e97534-6bbe-40ac-a340-8dd4fcf9ed5f,LCS-08 Terminal Kalideres,Kota Adm. Jakarta Barat,-6.15396,106.70605,https://udara.jakarta.go.id/
27fd1b91-2ed5-4c51-894a-b6b058f5588b,LCS-14 Pulau Pramuka,Kab. Adm. Kep. Seribu,-5.74466,106.61298,https://udara.jakarta.go.id/
2879eea5-cadb-4392-ac09-62ca585b75d6,DKJ33 Lebak Bulus,Kota Adm. Jakarta Selatan,-6.301071,106.789206,https://udara.jakarta.go.id/
2c0d984d-0f4a-4f8a-8564-ddd78fd76b34,DKI_PM25_17 SDN 20 Pejaten Timur,Kota Adm. Jakarta Selatan,-6.2737557,106.850605,https://udara.jakarta.go.id/
2d554554-7567-4ac1-ab87-536260d2ba79,DKI1 Bundaran HI,Kota Adm. Jakarta Pusat,-6.195459,106.822731,https://udara.jakarta.go.id/
3029cf23-cfec-4917-86f4-0afb1c3fe70a,DKI_PM25_56 SDN 01 Sukapura,Kota Adm. Jakarta Utara,-6.150574,106.921919,https://udara.jakarta.go.id/
31c9bb04-39b0-4b7b-a5ef-b6609f4741f9,DKI_PM25_80 Kamal Park,Kota Adm. Jakarta Barat,-6.102668,106.700401,https://udara.jakarta.go.id/
35a9757b-1bb9-468b-8354-a61c6280f5ca,DKI_PM25_46 SDN 10 Johar Baru Pagi,Kota Adm. Jakarta Pusat,-6.18121,106.860386,https://udara.jakarta.go.id/
3611712a-2eca-427d-a3fc-25e653fca2f0,"DKI_GOMBOLPAYA TMB Gombol Paya, Kalideres",Kota Adm. Jakarta Barat,-6.134634778409541,106.6891883099439,https://udara.jakarta.go.id/
38146348-8e39-48fd-9b80-9a07270976ce,DKI105 JGC Shinano,Kota Adm. Jakarta Timur,-6.159329,106.969286,https://udara.jakarta.go.id/
428162ac-9555-4000-a2b1-d235c196b7cb,DKI_PM25_27 RPTRA Manunggal Petukangan Selatan,Kota Adm. Jakarta Selatan,-6.243737,106.747235,https://udara.jakarta.go.id/
42b53155-7cfe-4543-aec2-5832c886d36f,LCS-01 Patung Pemuda Membangun,Kota Adm. Jakarta Selatan,-6.229448,106.79978,https://udara.jakarta.go.id/
46cebc3e-fcc7-49fe-955f-ec2448c33c71,DKI_PM25_71 Rusunawa KS Tubun,Kota Adm. Jakarta Barat,-6.1865608,106.8096856,https://udara.jakarta.go.id/
487c98af-c775-4cad-b541-95c33ad4371f,DKI_PM25_58 RPTRA Pandawa,Kota Adm. Jakarta Barat,-6.184001,106.763099,https://udara.jakarta.go.id/
493b612d-8277-47b6-9727-3854f13d5f48,DKI_PM25_55 RPTRA Melati Duri Pulo,Kota Adm. Jakarta Pusat,-6.163207,106.809255,https://udara.jakarta.go.id/
4aba46b6-6337-4b59-87e6-2c8f2934a043,DKI_PM25_57 RSUD Cipayung,Kota Adm. Jakarta Timur,-6.307085,106.905332,https://udara.jakarta.go.id/
4addd804-bfcd-4f33-a2bb-bf8b9f6412f9,DKI_PM25_29 RPTRA Rawa Badak Utara,Kota Adm. Jakarta Utara,-6.117076,106.896598,https://udara.jakarta.go.id/
4c663e14-ddf6-4212-81b7-b9db9f9dc83c,DKI_PM25_42 Taman Sutoyo,Kota Adm. Jakarta Timur,-6.257937,106.870456,https://udara.jakarta.go.id/
542cbe5e-859d-434f-8fed-e67fcf9cd50c,DKI_PM25_47 SDN 12 Gedong,Kota Adm. Jakarta Timur,-6.301248,106.856648,https://udara.jakarta.go.id/
